,0,classification,language,vowel,file
0,0.6542748034000396,i,BR,i,BR132
1,0.09918742254376407,ɪ,BR,i,BR132
2,0.06701704747974867,eɪ,BR,i,BR132
3,0.015089754574000792,ɛ,BR,i,BR132
4,0.00558897000737484,æ,BR,i,BR132
5,0.007419247692450831,ɑ,BR,i,BR132
6,0.01208149893209334,ʌ,BR,i,BR132
7,0.01760333077982064,oʊ,BR,i,BR132
8,0.0895304791629314,u,BR,i,BR132
9,0.0322074346244335,ʊ,BR,i,BR132
10,0.13702110797166822,i,BR,i,BR329
11,0.3932363957166672,ɪ,BR,i,BR329
12,0.06395249255001542,eɪ,BR,i,BR329
13,0.11657312437891956,ɛ,BR,i,BR329
14,0.01036769333295518,æ,BR,i,BR329
15,0.0052734050201251595,ɑ,BR,i,BR329
16,0.06151374988257883,ʌ,BR,i,BR329
17,0.016953418310731598,oʊ,BR,i,BR329
18,0.10167996510863297,u,BR,i,BR329
19,0.09342862293124198,ʊ,BR,i,BR329
20,0.6073574721813202,i,BR,i,BR373
21,0.242900113761425,ɪ,BR,i,BR373
22,0.0701424196362495,eɪ,BR,i,BR373
23,0.018671365361660662,ɛ,BR,i,BR373
24,0.00265919023659075,æ,BR,i,BR373
25,0.0017961674253455801,ɑ,BR,i,BR373
26,0.00608855686150485,ʌ,BR,i,BR373
27,0.0027442868566139996,oʊ,BR,i,BR373
28,0.03319625928997989,u,BR,i,BR373
29,0.014444135222583967,ʊ,BR,i,BR373
30,0.4259771406650543,i,BR,i,BR374
31,0.2720593810081482,ɪ,BR,i,BR374
32,0.08308243080973621,eɪ,BR,i,BR374
33,0.025295341387391052,ɛ,BR,i,BR374
34,0.00138635092298495,æ,BR,i,BR374
35,0.0010060780070488703,ɑ,BR,i,BR374
36,0.007491467706859061,ʌ,BR,i,BR374
37,0.007054848736152019,oʊ,BR,i,BR374
38,0.12676675543189048,u,BR,i,BR374
39,0.04988018870353696,ʊ,BR,i,BR374
40,0.7466099202632904,i,BR,i,BR375
41,0.1464481435716152,ɪ,BR,i,BR375
42,0.06973950006067747,eɪ,BR,i,BR375
43,0.018923496175557334,ɛ,BR,i,BR375
44,0.0011357022915035099,æ,BR,i,BR375
45,0.00028461073670763996,ɑ,BR,i,BR375
46,0.0029629820492118103,ʌ,BR,i,BR375
47,0.00054223183251446,oʊ,BR,i,BR375
48,0.00925660748034711,u,BR,i,BR375
49,0.00409678416326637,ʊ,BR,i,BR375
50,0.5370853245258331,i,BR,i,BR452
51,0.21530714035034176,ɪ,BR,i,BR452
52,0.01161076361313457,eɪ,BR,i,BR452
53,0.01218035891652103,ɛ,BR,i,BR452
54,0.0004795700864633001,æ,BR,i,BR452
55,0.00071996195911192,ɑ,BR,i,BR452
56,0.014758013375103402,ʌ,BR,i,BR452
57,0.0028749529737978606,oʊ,BR,i,BR452
58,0.15774931162595746,u,BR,i,BR452
59,0.047234602086245955,ʊ,BR,i,BR452
60,0.523270583152771,i,BR,i,BR454
61,0.21190703362226487,ɪ,BR,i,BR454
62,0.04493550620973106,eɪ,BR,i,BR454
63,0.025518394075334024,ɛ,BR,i,BR454
64,0.010617016023024863,æ,BR,i,BR454
65,0.007389461761340461,ɑ,BR,i,BR454
66,0.018494627811014592,ʌ,BR,i,BR454
67,0.01368316779844458,oʊ,BR,i,BR454
68,0.1042935594916343,u,BR,i,BR454
69,0.03989065196365114,ʊ,BR,i,BR454
70,0.35319415628910067,i,BR,i,BR46
71,0.10921226367354389,ɪ,BR,i,BR46
72,0.014527201838791321,eɪ,BR,i,BR46
73,0.024846681393682908,ɛ,BR,i,BR46
74,0.0007059174706227701,æ,BR,i,BR46
75,0.0007928664505015599,ɑ,BR,i,BR46
76,0.030729062110185577,ʌ,BR,i,BR46
77,0.009224446304142429,oʊ,BR,i,BR46
